iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,bal_trg,bal_val,bal_tst,elapsed
0,0.227864085062,0.2280972814,0.222575702127,0.407806361678,0.41104916371,0.417680454177,0.278969294862,0.293187347932,0.290513833992,0.543651638554,0.565945276566,0.561400247209,0.150088717
10,0.230172816232,0.230603884851,0.224522643878,0.399822582689,0.403953370502,0.413625304136,0.277167277167,0.289855072464,0.289085545723,0.540267151437,0.560409049809,0.559001014963,1.692339374
20,0.22748463892,0.22755857997,0.221894262231,0.409073628184,0.409021794222,0.421735604217,0.277166330801,0.28641370869,0.291252485089,0.541055884834,0.555369147305,0.562730502156,3.223353361
30,0.229097005143,0.229080148262,0.223672733142,0.407172728425,0.418144956918,0.415652879157,0.275178184072,0.291358024691,0.2862803368,0.537924219708,0.563443998899,0.554855744591,4.647176259
40,0.223490282036,0.223530971719,0.218342593579,0.422253199848,0.435884439939,0.430251419303,0.274160165579,0.290630975143,0.286439817166,0.537812236388,0.56321893305,0.556010139583,6.064037998
50,0.226543132289,0.226602334513,0.221494291871,0.416043593968,0.430309173847,0.427412814274,0.274102079395,0.292191435768,0.286868686869,0.537149913986,0.565279907222,0.556468631609,7.526568129
60,0.231516110267,0.231768466945,0.226609197408,0.4021036624,0.412062848454,0.409164639092,0.275936157152,0.289215686275,0.284029484029,0.538605635757,0.559846876597,0.551016972998,8.999627179
70,0.2298439662,0.229783171005,0.224742961265,0.406919275124,0.416624429802,0.41403081914,0.277331686226,0.2934315531,0.285007422068,0.541119673578,0.566563470535,0.552827074394,10.545871119
80,0.222960700467,0.222906346569,0.21759149397,0.423140286402,0.427268119615,0.427818329278,0.275851097677,0.291091593476,0.285569620253,0.540344201364,0.563481346071,0.554570600235,12.011334432
90,0.221266283606,0.220939987613,0.215676689138,0.428082625776,0.435884439939,0.432684509327,0.274553930236,0.294229549778,0.282931829831,0.538918747015,0.568577269332,0.551035815136,13.503157733
100,0.220703626757,0.220528906891,0.21520799844,0.428462805728,0.436391282311,0.434306569343,0.273752012882,0.293519695044,0.284248332478,0.537805483008,0.567537445453,0.553064485333,14.981157085
110,0.211592045204,0.211520744042,0.205726410873,0.455202129008,0.46122655854,0.470802919708,0.270737913486,0.288010716678,0.286495352652,0.536226604143,0.560792349727,0.55862291606,16.45064593
120,0.208341917203,0.20793512171,0.202251888342,0.462679001394,0.471363405981,0.483779399838,0.263633205974,0.288054607509,0.287632904309,0.527602415009,0.561429217282,0.560955572751,17.928660239
130,0.206035913741,0.205302482501,0.199916843907,0.469268787226,0.479979726305,0.489051094891,0.262416343783,0.288488210818,0.284090909091,0.526816935513,0.562506388332,0.556591733577,19.417042318
140,0.202123738405,0.201344009141,0.195944595352,0.479026739323,0.490116573746,0.495944849959,0.257540184215,0.281428571429,0.275218658892,0.521883836951,0.553766167394,0.545704746209,20.873543322
150,0.201060753588,0.200388999157,0.19498533115,0.482321632239,0.488596046629,0.495944849959,0.258216814963,0.277738010021,0.272674078408,0.523163786657,0.548848134607,0.542497814312,22.321821365
160,0.199661172846,0.198992515344,0.193512223328,0.486757065011,0.490623416118,0.49797242498,0.259055982437,0.276457883369,0.272620446533,0.524783861141,0.547368007234,0.542628453136,23.798227451
170,0.19784922891,0.197223970466,0.191708846066,0.493980484096,0.49366447035,0.504055150041,0.261239592969,0.274509803922,0.274183976261,0.528387648927,0.545147816173,0.545158324205,25.274411621
180,0.197071037003,0.196509296322,0.190935639239,0.495247750602,0.498226051698,0.504460665045,0.25952779327,0.275256222548,0.271752085816,0.526460970989,0.546506073829,0.542191315533,26.751797774
190,0.19618640437,0.195485768354,0.190094076273,0.497655556964,0.502787633046,0.506082725061,0.256564141035,0.274944567627,0.266265060241,0.523201728374,0.546524747415,0.535668167338,28.232764762
200,0.191874773695,0.191216797239,0.185881407139,0.508300595615,0.506842372022,0.522708840227,0.255849635596,0.268970698723,0.266666666667,0.523811435805,0.539545740457,0.538022178453,29.711487051
210,0.191023651941,0.19024699211,0.184887877926,0.509441135471,0.50886974151,0.525141930251,0.259138755981,0.269781461944,0.270404984424,0.527831477382,0.540744781224,0.542668649697,31.191447669
220,0.187426570076,0.18643500018,0.181148476057,0.518692180966,0.520527116067,0.538118410381,0.246428571429,0.264385692068,0.265635074146,0.514569619367,0.535583009003,0.538587442594,32.633011221
230,0.186358764947,0.185508227292,0.180064827703,0.522747433785,0.525595539787,0.538523925385,0.246196957566,0.265306122449,0.263906856404,0.514961192622,0.537241026851,0.536689411221,34.084009674
240,0.184066692432,0.18318415521,0.177682949006,0.525915600051,0.526102382159,0.545823195458,0.237930332043,0.254980079681,0.263157894737,0.506464580977,0.525484530408,0.536732120067,35.566694301
250,0.182915911294,0.182015590587,0.176790031651,0.528196679762,0.529143436391,0.547445255474,0.235366605052,0.253815261044,0.259946949602,0.504133989516,0.524603923419,0.533415903769,37.007060088
260,0.179417697175,0.179497882032,0.173515996981,0.534406285642,0.537252914344,0.553527980535,0.229769392034,0.252252252252,0.255578093306,0.499443705666,0.524041750206,0.529531911045,37.798190369
270,0.175757798742,0.175792540285,0.169914039597,0.544164237739,0.547389761784,0.560827250608,0.22695035461,0.253968253968,0.252587991718,0.498525061793,0.527357785902,0.527436665293,38.579048444
280,0.171440987879,0.171766234843,0.165746146091,0.552274743379,0.549417131272,0.569343065693,0.227083789105,0.247248094835,0.253164556962,0.500311821976,0.520519322247,0.529268121112,39.360012208
290,0.168143643369,0.168564911487,0.162683219239,0.562412875428,0.561074505829,0.580291970803,0.218954987559,0.245644599303,0.243973703433,0.494599997299,0.520715886307,0.521849343289,40.151970118
300,0.168767995932,0.16942044039,0.163035373668,0.56279305538,0.560567663457,0.579886455799,0.220515137822,0.242794759825,0.24269005848,0.496163036418,0.517736957975,0.520540442765,40.947137851
310,0.165477137787,0.166499450193,0.160252033045,0.570269927766,0.564115560061,0.586374695864,0.217039944586,0.23487544484,0.234234234234,0.49456414299,0.510458190824,0.513689441368,41.745342649
320,0.162483633201,0.163594198512,0.15703168245,0.576859713598,0.572731880385,0.593268450933,0.213797975041,0.232939035487,0.237262357414,0.493109587712,0.510195777804,0.517768136186,42.526168603
