iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,bal_trg,bal_val,bal_tst,elapsed
0,0.118098402722,0.114816793539,0.117375115777,0.671397794956,0.687278256462,0.670721816707,0.15454841865,0.148965517241,0.166324435318,0.476436904398,0.478812359948,0.483420174654,0.181725714
10,0.105880239954,0.103253213593,0.105300896245,0.718159929033,0.729853015712,0.71695052717,0.160754716981,0.152623211447,0.178823529412,0.496069164435,0.495954711641,0.50542653576,1.840876832
20,0.101701795658,0.0995653110928,0.101383102044,0.732099860601,0.742017232641,0.730332522303,0.159108989658,0.155887230514,0.173913043478,0.499966048917,0.501809372174,0.506930138377,3.496126404
30,0.101282646479,0.0991580624892,0.100934497501,0.734254213661,0.741510390269,0.730738037307,0.160864345738,0.155629139073,0.174129353234,0.501574949626,0.501509611983,0.507170061601,5.056749167
40,0.100717130593,0.0986727122717,0.100301892449,0.737295653276,0.745565129245,0.731143552311,0.157659488013,0.149152542373,0.161820480405,0.50103228484,0.499888941306,0.500996121032,6.146306655
50,0.0994688430868,0.09767249264,0.0990911784026,0.741731086047,0.748606183477,0.740064882401,0.156456953642,0.141868512111,0.16644993498,0.501983283543,0.497668750246,0.506274431972,8.268309159
60,0.0960337637458,0.0944280612058,0.0955146190219,0.751869218097,0.759249873289,0.754663422547,0.14572425829,0.131627056673,0.156206415621,0.500620451445,0.497265793922,0.506359849665,9.728813425
70,0.0953599067026,0.09393785008,0.0948957617584,0.753516664555,0.761277242777,0.757096512571,0.150283966798,0.135779816514,0.15514809591,0.503267653642,0.49980441876,0.506730411713,11.17005271
80,0.0936434014774,0.0922402570944,0.0933645943782,0.761373716893,0.769893563102,0.761151662612,0.135842129417,0.13358778626,0.127407407407,0.499886420426,0.502221173881,0.496301916371,12.574524146
90,0.0914726842895,0.0902965411592,0.0918044432533,0.771511848942,0.77952356817,0.770072992701,0.132756132756,0.124748490946,0.115444617785,0.502538043018,0.502558281244,0.495166363518,13.536610885
100,0.0911191385673,0.0900221859333,0.0914056191426,0.77328602205,0.781550937658,0.771289537713,0.126038104543,0.129292929293,0.115987460815,0.500576677263,0.505096906082,0.495886133191,14.362594222
110,0.0892213753987,0.0882630366621,0.0897238716834,0.780002534533,0.788646730867,0.77696674777,0.124117053481,0.122105263158,0.11003236246,0.502542463412,0.505274796556,0.496038126438,15.238802565
120,0.0884457448532,0.0874554808172,0.0889596148788,0.782283614244,0.788139888495,0.779399837794,0.122574055158,0.106837606838,0.105263157895,0.502888175077,0.499616700083,0.495339711188,16.191474983
130,0.0867974518611,0.0860295915877,0.0874881997927,0.789380306678,0.793208312215,0.786293592863,0.115015974441,0.109170305677,0.0991452991453,0.503071621437,0.502614302001,0.496211474108,16.996515972
140,0.0860006758492,0.0851776041871,0.0866840922284,0.791914839691,0.795742524075,0.789537712895,0.105664488017,0.0984340044743,0.0973913043478,0.500890955014,0.500094350749,0.497061882606,18.003870343
150,0.0845692893156,0.0839431939706,0.0852342025072,0.796730452414,0.797769893563,0.793592862936,0.105908584169,0.0869565217391,0.0959147424512,0.503070454945,0.497274639305,0.498392137553,19.466858827
160,0.0812105417142,0.0810336108129,0.0816772136536,0.809910024078,0.807906741004,0.808596918086,0.0942028985507,0.0778588807786,0.0888030888031,0.505179412751,0.499251090931,0.502993387666,20.907067295
