iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,bal_trg,bal_val,bal_tst,elapsed
0,0.194509063082,0.196128268002,0.196774568639,0.426561905969,0.423720223011,0.415652879157,0.283225091082,0.282649842271,0.274055415617,0.55140071242,0.550666352164,0.536683130508,3.153943461
10,0.0800623497925,0.0796686741837,0.0808600931481,0.812064377139,0.813482007096,0.804541768045,0.105009052505,0.11961722488,0.0801526717557,0.509464616586,0.514604709675,0.498456200822,36.335500233
20,0.0725837413808,0.0738741872058,0.0733469476548,0.842225319985,0.837810440953,0.836171938362,0.0632054176072,0.047619047619,0.0334928229665,0.512251490962,0.506220269686,0.502204530152,64.828841289
30,0.0757876965588,0.0746930772225,0.0750296171748,0.828665568369,0.831221490117,0.827250608273,0.0938337801609,0.0975609756098,0.0974576271186,0.513597562398,0.515719227896,0.514029855996,101.102525976
40,0.071705714181,0.0714489253909,0.0728351463959,0.845520212901,0.845413076533,0.845093268451,0.00489795918367,0.00651465798046,0,0.50115353871,0.50133958407,0.5,125.990716316
50,0.0769733693435,0.0769381654291,0.0772230281424,0.8452667596,0.845413076533,0.845093268451,0,0,0,0.5,0.5,0.5,159.827590203
60,0.0737017445781,0.0730874076834,0.0733565255533,0.845646939551,0.846933603649,0.846309813463,0.00490196078431,0.0194805194805,0.0155844155844,0.501228501229,0.504918032787,0.503926701571,195.6829386
70,0.0716094655732,0.0695772254195,0.0704088284424,0.842225319985,0.849974657881,0.843876723439,0.0865737344094,0.134502923977,0.0811455847255,0.517938635105,0.533508275347,0.517452844409,223.045629561
80,0.0744911252755,0.0742165542628,0.0743036104188,0.845140032949,0.845413076533,0.845093268451,0,0,0,0.499925037481,0.5,0.5,256.17689379
90,0.0775916366395,0.0766123333089,0.0770906898075,0.834748447599,0.836796756209,0.837388483374,0.0121212121212,0.0416666666667,0.00987654320988,0.496454414071,0.504281165232,0.497579413331,289.367945183
100,0.0678999154866,0.0669520335145,0.0673071939363,0.85147636548,0.856563608718,0.851581508516,0.138235294118,0.179710144928,0.144859813084,0.53511972515,0.548121830405,0.536977067862,325.6186835
110,0.0688698776446,0.0671930475187,0.0679368851797,0.84539348625,0.849974657881,0.847526358475,0.060092449923,0.0864197530864,0.0646766169154,0.513121940258,0.521452018713,0.515336244234,361.768713467
120,0.0670264170537,0.0649774487668,0.0664289159096,0.846280572804,0.850481500253,0.848337388483,0.141542816702,0.169014084507,0.146118721461,0.534053489226,0.543185124032,0.536126659364,393.006829651
130,0.0676451191769,0.0666168500808,0.0656517423594,0.849322012419,0.850481500253,0.85401459854,0.131482834186,0.164305949008,0.154929577465,0.532507210768,0.541845539961,0.540554561807,430.044848415
140,0.0651966739897,0.0641307502432,0.065036317865,0.853250538588,0.855043081602,0.854825628548,0.245110821382,0.266666666667,0.263374485597,0.567615762143,0.575353815308,0.574172704525,461.721307376
150,0.065160417626,0.0632415522632,0.0627093274932,0.853757445191,0.857577293462,0.858475263585,0.188466947961,0.238482384824,0.226164079823,0.549850566117,0.566135943704,0.562435308659,495.06724624
160,0.0653041462532,0.0635951430197,0.0647390685266,0.854897985046,0.859097820578,0.855636658556,0.167272727273,0.214689265537,0.160377358491,0.544169008862,0.558997719857,0.542583232005,526.497420878
170,0.0632272141936,0.0615908897943,0.0615031897326,0.857179064757,0.859097820578,0.860097323601,0.226492793411,0.256684491979,0.238410596026,0.562245228737,0.572393560561,0.566601933455,560.252349872
180,0.0638818172528,0.0626802366138,0.0624195061556,0.854644531745,0.85707045109,0.860502838605,0.237873754153,0.261780104712,0.264957264957,0.565429508833,0.573873687935,0.575393675071,587.503032643
190,0.0651077805855,0.0629425804367,0.0627036965846,0.852616905335,0.852002027369,0.857258718573,0.172241992883,0.20652173913,0.2,0.544826910869,0.554801077171,0.554232697893,608.173968266
200,0.0638317066912,0.0617011234971,0.0626121154171,0.856925611456,0.859097820578,0.860502838605,0.212142358688,0.244565217391,0.22869955157,0.55774631112,0.56837480835,0.563634924782,628.361121725
210,0.0658128641091,0.0634088977287,0.0640646255633,0.853757445191,0.850988342625,0.85401459854,0.155197657394,0.164772727273,0.150943396226,0.540483505176,0.542145300153,0.539485584508,653.656803526
220,0.0636976216019,0.0620207725749,0.0622911546956,0.856672158155,0.860111505322,0.859286293593,0.181028240406,0.220338983051,0.194895591647,0.548563863032,0.560936824311,0.553294359418,686.451736472
230,0.0642930180365,0.0623211312025,0.0620569622052,0.854010898492,0.853015712114,0.860097323601,0.198887343533,0.224598930481,0.231625835189,0.553011332172,0.560758933837,0.564463978857,719.984196667
240,0.0644830298809,0.0626078818895,0.0621415048229,0.853757445191,0.85707045109,0.860097323601,0.169784172662,0.220994475138,0.206896551724,0.544497959865,0.56047784723,0.556981137764,743.437524883
250,0.0636311732467,0.061615797491,0.0610673316173,0.855911798251,0.856563608718,0.862124898621,0.215320910973,0.249336870027,0.254385964912,0.558484762533,0.569555175532,0.572077458773,775.931671322
260,0.064240829031,0.0619766550806,0.06181963777,0.855151438347,0.859097820578,0.860502838605,0.206800832755,0.248648648649,0.235555555556,0.555693222185,0.56971439242,0.56577287938,812.683551442
270,0.0651456104236,0.063431808173,0.062533131385,0.852109998733,0.856563608718,0.858069748581,0.164638511095,0.207282913165,0.193548387097,0.542519833449,0.556159334827,0.552574589744,843.147406423
280,0.0639506679815,0.0620992763283,0.0616062340505,0.855404891649,0.853522554486,0.860097323601,0.208188757807,0.22102425876,0.245076586433,0.556177685113,0.559719109958,0.568739888053,869.498250604
290,0.0644733617162,0.062559509388,0.0623917667697,0.853503991889,0.857577293462,0.856447688564,0.197222222222,0.258575197889,0.216814159292,0.552376944206,0.572833864056,0.559097737939,890.591176108
300,0.0646532564385,0.0628607420968,0.0628184801283,0.85363071854,0.855043081602,0.858069748581,0.20399724328,0.239361702128,0.232456140351,0.554459134069,0.565976726815,0.564333340033,911.453890081
310,0.0640694905426,0.0623670372718,0.0620358203313,0.854771258396,0.85453623923,0.860502838605,0.209655172414,0.238726790451,0.248908296943,0.556471948301,0.565676966623,0.570048788576,943.126259923
320,0.0645772219295,0.0628929162549,0.0624031606837,0.855151438347,0.856563608718,0.858475263585,0.18763326226,0.207282913165,0.208616780045,0.550006078042,0.556159334827,0.557090422164,979.668498142
330,0.0640895608402,0.0625412353729,0.0622358088923,0.854264351793,0.853015712114,0.85604217356,0.199164345404,0.216216216216,0.212860310421,0.553161257209,0.558079765696,0.557788837415,1003.62677857
340,0.0648447226705,0.0631266720206,0.0627101088955,0.853377265239,0.854029396858,0.857664233577,0.182332155477,0.217391304348,0.214765100671,0.547952989107,0.558679286079,0.558748530313,1028.97050512
350,0.0652475095599,0.063678026247,0.063314715278,0.85363071854,0.854029396858,0.857258718573,0.163649529327,0.186440677966,0.188940092166,0.542750307893,0.549302197586,0.551025765996,1057.69635066
360,0.0645593960055,0.0631874234311,0.0630035623523,0.852236725383,0.848960973137,0.856447688564,0.201369863014,0.215789473684,0.230434782609,0.553300008472,0.557021268231,0.563373647134,1093.71088324
370,0.0648848512078,0.0636086551694,0.0632529382641,0.850842732227,0.847440446021,0.855231143552,0.205266711681,0.222222222222,0.235546038544,0.55414811022,0.558801155797,0.564791832059,1122.91667884
380,0.0641498201331,0.0625973590386,0.0622503133701,0.855024711697,0.856056766346,0.856447688564,0.202231520223,0.236559139785,0.216814159292,0.554280108103,0.565236663129,0.559097737939,1150.68473997
