iterations,fitness,time,fevals
0,24.0,0.000651946000001,283
10,25.0,0.00111604,467
20,25.0,0.001466142,654
30,27.0,0.001899254,844
40,26.0,0.002272215,1026
50,26.0,0.002632922,1210
60,27.0,0.003001527,1392
70,26.0,0.003369265,1580
80,26.0,0.003747867,1766
90,27.0,0.004025257,1947
100,27.0,0.004529102,2128
110,27.0,0.005043765,2310
120,27.0,0.005563545,2491
130,27.0,0.006053517,2678
140,27.0,0.006513673,2865
150,28.0,0.007068897,3052
160,28.0,0.007536689,3238
170,28.0,0.0079965,3428
180,28.0,0.008449109,3620
190,28.0,0.009127452,3801
200,28.0,0.010032394,3986
210,29.0,0.010719554,4172
220,30.0,0.01117308,4362
230,29.0,0.011681098,4543
240,29.0,0.012209281,4728
250,30.0,0.012817108,4914
260,29.0,0.013505366,5105
270,30.0,0.014092588,5294
280,30.0,0.014683167,5482
290,29.0,0.015243947,5666
300,31.0,0.015823689,5856
310,31.0,0.016472739,6042
320,33.0,0.017108544,6230
330,31.0,0.017706652,6416
340,31.0,0.018303044,6600
350,31.0,0.018794768,6783
360,31.0,0.019347484,6970
370,31.0,0.019819924,7161
380,31.0,0.020520864,7351
390,32.0,0.021240891,7540
400,32.0,0.022041912,7725
410,31.0,0.022757114,7914
420,31.0,0.023183954,8101
430,32.0,0.023615656,8288
440,31.0,0.024016185,8476
450,32.0,0.024465464,8668
460,31.0,0.024911036,8849
470,32.0,0.025425535,9035
480,32.0,0.025857543,9223
490,32.0,0.026271252,9409
500,32.0,0.026669114,9593
510,32.0,0.027126038,9775
520,32.0,0.027582076,9956
530,33.0,0.028003989,10137
540,33.0,0.028417075,10326
550,33.0,0.0288583,10510
560,33.0,0.029310207,10693
570,33.0,0.029732806,10882
580,33.0,0.030217523,11062
590,34.0,0.030654431,11244
600,34.0,0.031022659,11427
610,34.0,0.031402819,11613
620,34.0,0.032036613,11801
630,33.0,0.032452143,11991
640,33.0,0.032867509,12175
650,33.0,0.033323789,12365
660,33.0,0.033744467,12552
670,33.0,0.034153786,12738
680,33.0,0.034566521,12928
690,33.0,0.034988039,13114
700,33.0,0.035402248,13299
710,33.0,0.035801384,13487
720,33.0,0.036310817,13668
730,33.0,0.036743,13853
740,34.0,0.037169166,14041
750,33.0,0.03758837,14229
760,33.0,0.038048365,14416
770,33.0,0.038508718,14600
780,33.0,0.039042548,14791
790,33.0,0.039654534,14978
800,33.0,0.040159929,15168
810,33.0,0.040590717,15353
820,33.0,0.041026182,15540
830,33.0,0.041466055,15727
840,33.0,0.041905601,15911
850,33.0,0.042517082,16096
860,32.0,0.042920388,16279
870,32.0,0.043520726,16459
880,33.0,0.044007384,16646
890,33.0,0.044568401,16829
900,34.0,0.044963639,17019
910,35.0,0.045349495,17204
920,34.0,0.045791592,17389
930,34.0,0.046241738,17570
940,34.0,0.046661602,17754
950,35.0,0.047086833,17945
960,36.0,0.047488827,18129
970,36.0,0.047991412,18312
980,35.0,0.04842166,18493
990,36.0,0.048852076,18678
1000,36.0,0.049294845,18859
1010,37.0,0.049724243,19049
1020,37.0,0.050181384,19234
1030,36.0,0.050648071,19417
1040,38.0,0.051067734,19599
1050,39.0,0.051471462,19783
1060,39.0,0.05192585,19968
1070,40.0,0.052404287,20152
1080,38.0,0.052846438,20337
1090,38.0,0.053257677,20519
1100,38.0,0.053636702,20704
1110,37.0,0.054188947,20888
