iterations,fitness,time,fevals
0,22.0,0.063710771,1000
10,37.0,0.121237582,2100
20,35.0,0.175996367,3200
30,43.0,0.228029062,4300
40,43.0,0.277707252,5400
50,44.0,0.33001521,6500
60,42.0,0.380950359,7600
70,43.0,0.430779085,8700
80,45.0,0.476129355,9800
90,46.0,0.519864585,10900
100,44.0,0.565739612,12000
110,44.0,0.609591115,13100
120,44.0,0.652581662,14200
130,47.0,0.697693463,15300
140,48.0,0.758041637,16400
150,45.0,0.828664012,17500
160,46.0,0.891877925,18600
170,47.0,0.952159292,19700
180,46.0,0.993808898,20800
190,45.0,1.037532424,21900
200,46.0,1.078964937,23000
210,46.0,1.120523157,24100
220,47.0,1.163542919,25200
230,47.0,1.206747572,26300
240,48.0,1.247390515,27400
250,49.0,1.287981897,28500
260,48.0,1.32829826,29600
270,48.0,1.369350394,30700
280,48.0,1.41029432,31800
290,46.0,1.451501517,32900
300,46.0,1.490790585,34000
310,47.0,1.531697937,35100
320,47.0,1.574129418,36200
330,47.0,1.614899328,37300
340,50.0,1.656946978,38400
350,48.0,1.699620766,39500
360,48.0,1.760976763,40600
370,48.0,1.823995123,41700
380,49.0,1.882800462,42800
390,48.0,1.924009186,43900
400,48.0,1.965680996,45000
410,49.0,2.005571108,46100
420,48.0,2.046575936,47200
430,48.0,2.08642436,48300
440,48.0,2.126681917,49400
450,48.0,2.166480319,50500
460,48.0,2.20790032,51600
470,48.0,2.248171544,52700
480,48.0,2.288055857,53800
490,48.0,2.328148636,54900
500,48.0,2.36865759,56000
510,48.0,2.40802008,57100
520,48.0,2.452106479,58200
530,48.0,2.4922041,59300
540,48.0,2.53250492,60400
550,49.0,2.575130679,61500
560,48.0,2.615849204,62600
570,49.0,2.654216241,63700
580,48.0,2.696506785,64800
590,49.0,2.734035429,65900
600,49.0,2.775352115,67000
610,49.0,2.815262799,68100
620,48.0,2.856362393,69200
630,48.0,2.910187147,70300
640,48.0,2.97557643,71400
650,48.0,3.036888178,72500
660,48.0,3.094304325,73600
670,48.0,3.136248088,74700
680,48.0,3.181754299,75800
690,48.0,3.22126039,76900
700,48.0,3.266795228,78000
710,48.0,3.305747465,79100
720,48.0,3.346378386,80200
730,48.0,3.38652408,81300
740,49.0,3.42692491,82400
750,48.0,3.46721986,83500
760,48.0,3.50850943,84600
770,48.0,3.547714111,85700
780,47.0,3.58802639,86800
790,48.0,3.628067437,87900
800,48.0,3.668804891,89000
810,48.0,3.709400752,90100
820,47.0,3.753594118,91200
830,48.0,3.794691305,92300
840,48.0,3.838531636,93400
850,48.0,3.880051091,94500
860,50.0,3.919589117,95600
870,48.0,3.960417969,96700
880,48.0,4.003734014,97800
890,48.0,4.075664711,98900
900,48.0,4.138892011,100000
910,49.0,4.200761836,101100
920,48.0,4.261083886,102200
930,48.0,4.301955293,103300
940,48.0,4.343355875,104400
950,48.0,4.383700643,105500
960,49.0,4.424159554,106600
970,49.0,4.465337836,107700
980,49.0,4.507184347,108800
990,51.0,4.548538539,109900
1000,54.0,4.594719007,111000
1010,53.0,4.640381442,112100
1020,54.0,4.681741335,113200
1030,52.0,4.72278146,114300
1040,54.0,4.764485268,115400
1050,52.0,4.805887755,116500
1060,52.0,4.84817236,117600
1070,53.0,4.888951554,118700
1080,52.0,4.929894492,119800
1090,52.0,4.969728071,120900
1100,52.0,5.010721279,122000
1110,52.0,5.077337346,123100
1120,53.0,5.142415664,124200
1130,52.0,5.211257369,125300
1140,54.0,5.259245722,126400
1150,53.0,5.303550738,127500
1160,53.0,5.349757272,128600
1170,53.0,5.391419134,129700
1180,52.0,5.438954134,130800
1190,52.0,5.485094572,131900
1200,52.0,5.531313643,133000
1210,53.0,5.574736128,134100
1220,52.0,5.618736358,135200
1230,53.0,5.662676911,136300
1240,54.0,5.70693616,137400
1250,52.0,5.748962573,138500
1260,52.0,5.790964887,139600
1270,53.0,5.833755229,140700
1280,53.0,5.874031887,141800
1290,52.0,5.918205994,142900
1300,52.0,5.959843945,144000
1310,52.0,6.011460501,145100
1320,56.0,6.052416829,146200
1330,53.0,6.093699669,147300
1340,55.0,6.133956911,148400
1350,53.0,6.174183279,149500
1360,53.0,6.216459426,150600
1370,54.0,6.256921969,151700
1380,51.0,6.297386723,152800
1390,52.0,6.363874271,153900
1400,52.0,6.426967849,155000
1410,53.0,6.490501425,156100
1420,53.0,6.565760027,157200
1430,54.0,6.637598161,158300
1440,57.0,6.680960583,159400
1450,54.0,6.721997003,160500
