iterations,fitness,time,fevals
0,23.0,0.006331001,800
10,25.0,0.00847685,1500
20,27.0,0.010469367,2188
30,29.0,0.012369842,2881
40,30.0,0.014374577,3581
50,30.0,0.016179879,4286
60,30.0,0.017996619,4989
70,31.0,0.019839879,5668
80,33.0,0.021539983,6369
90,37.0,0.023186931,7076
100,36.0,0.025093371,7776
110,35.0,0.026721523,8473
120,36.0,0.02850948,9162
130,37.0,0.030137846,9876
140,37.0,0.031752218,10572
150,37.0,0.033315347,11254
160,37.0,0.034866433,11948
170,37.0,0.03639538,12644
180,37.0,0.037915962,13329
190,37.0,0.039657893,14027
200,38.0,0.041255976,14718
210,37.0,0.042639066,15412
220,37.0,0.044088216,16122
230,38.0,0.049240606,16823
240,38.0,0.050980173,17526
250,39.0,0.051988237,18215
260,38.0,0.052908353,18914
270,40.0,0.053858062,19625
280,38.0,0.054880709,20323
290,39.0,0.055845778,21021
300,38.0,0.056921262,21718
310,38.0,0.057874501,22427
320,38.0,0.059164775,23120
330,38.0,0.060206098,23816
340,39.0,0.061340678,24517
350,39.0,0.062321835,25225
360,40.0,0.063425329,25927
370,40.0,0.064363155,26620
380,40.0,0.065302228,27321
390,41.0,0.066267117,28008
400,41.0,0.067248805,28715
410,41.0,0.068445891,29410
420,41.0,0.069451841,30120
430,41.0,0.070465718,30802
440,42.0,0.071538313,31501
450,42.0,0.072617738,32203
460,42.0,0.073597068,32900
470,42.0,0.084479841,33599
480,42.0,0.118211551,34289
490,43.0,0.11904392,34994
500,44.0,0.119955217,35701
510,45.0,0.120817142,36407
520,47.0,0.121712337,37110
530,47.0,0.122600398,37813
540,47.0,0.123595592,38512
550,46.0,0.124414671,39218
560,47.0,0.125321306,39913
570,49.0,0.126324843,40614
580,46.0,0.127236868,41322
590,49.0,0.128141471,42018
600,49.0,0.129025615,42713
610,51.0,0.129925525,43405
620,50.0,0.130866943,44108
630,49.0,0.131852701,44804
640,50.0,0.132730781,45524
650,49.0,0.133628076,46216
660,50.0,0.13446422,46916
670,50.0,0.135312247,47617
680,52.0,0.136241724,48312
690,51.0,0.13706834,49008
700,52.0,0.137947764,49711
710,49.0,0.138742525,50413
720,50.0,0.139462971,51104
730,49.0,0.140115216,51804
740,50.0,0.140786697,52511
750,49.0,0.141459688,53201
760,51.0,0.142196155,53904
770,51.0,0.142904627,54609
780,49.0,0.143708198,55305
790,50.0,0.144493519,55995
800,51.0,0.14537806,56686
810,52.0,0.146288103,57392
820,58.0,0.147125961,58102
830,59.0,0.147943996,58804
840,55.0,0.148723103,59505
850,56.0,0.149531924,60201
860,55.0,0.150377851,60898
870,56.0,0.151110409,61589
880,56.0,0.151906976,62278
890,56.0,0.152655874,62972
900,57.0,0.153484187,63669
910,56.0,0.154417072,64360
920,57.0,0.155223439,65063
930,58.0,0.155927976,65764
940,57.0,0.156732507,66462
950,57.0,0.157523911,67172
960,57.0,0.158369796,67862
970,57.0,0.159484236,68568
980,56.0,0.16039723,69261
990,56.0,0.161229926,69955
1000,56.0,0.16208113,70648
1010,56.0,0.162903697,71335
1020,55.0,0.163752161,72025
1030,55.0,0.164688766,72724
1040,59.0,0.165552728,73403
1050,59.0,0.1664202,74106
1060,60.0,0.167418023,74804
1070,59.0,0.168301941,75518
1080,59.0,0.169252851,76207
1090,63.0,0.170312814,76896
1100,61.0,0.171275109,77604
1110,63.0,0.171978248,78291
1120,63.0,0.172692854,78993
1130,65.0,0.197698145,79684
1140,63.0,0.198757113,80396
1150,64.0,0.199570417,81101
1160,64.0,0.200353587,81781
1170,64.0,0.20322856,82469
1180,65.0,0.203984374,83169
1190,65.0,0.204551854,83866
1200,68.0,0.205345558,84554
1210,66.0,0.206022136,85258
1220,65.0,0.206818546,85947
1230,69.0,0.207696344,86657
1240,66.0,0.208679537,87362
1250,70.0,0.209720228,88058
1260,69.0,0.210731057,88761
1270,70.0,0.211570492,89449
1280,70.0,0.212432854,90135
1290,70.0,0.221688713,90848
1300,69.0,0.223102633,91555
1310,70.0,0.22496803,92268
1320,68.0,0.225994852,92959
1330,68.0,0.226861037,93666
1340,69.0,0.227703472,94364
1350,68.0,0.228546847,95057
1360,67.0,0.229509162,95768
1370,69.0,0.230401737,96456
1380,69.0,0.231415038,97145
1390,69.0,0.23319189,97848
1400,67.0,0.234047274,98532
1410,67.0,0.234968399,99240
1420,67.0,0.235806499,99933
1430,66.0,0.245447505,100624
1440,69.0,0.246344656,101311
1450,67.0,0.247536753,102005
1460,66.0,0.248647723,102722
1470,66.0,0.249710542,103428
1480,64.0,0.250625981,104127
1490,66.0,0.251630619,104825
1500,66.0,0.25271969,105524
1510,66.0,0.253854879,106220
1520,65.0,0.258928377,106924
1530,67.0,0.259782007,107630
1540,65.0,0.260729294,108323
1550,67.0,0.261907269,109025
1560,67.0,0.26276909,109725
