iterations,fitness,time,fevals
0,23.0,0.000698978999999,430
10,23.0,0.001319015,758
20,23.0,0.001888654,1102
30,25.0,0.002459885,1437
40,24.0,0.003033407,1773
50,24.0,0.003667551,2101
60,24.0,0.004242369,2434
70,25.0,0.00478797,2773
80,24.0,0.005372498,3112
90,24.0,0.005937305,3453
100,27.0,0.006509158,3785
110,24.0,0.007184364,4128
120,25.0,0.007744888,4460
130,25.0,0.008351869,4796
140,27.0,0.008911058,5129
150,27.0,0.009434067,5462
160,28.0,0.010007168,5797
170,27.0,0.01062392,6125
180,27.0,0.018201657,6454
190,28.0,0.018852536,6798
200,28.0,0.019420775,7137
210,29.0,0.019980906,7483
220,30.0,0.020553146,7827
230,30.0,0.021104988,8162
240,30.0,0.021789707,8502
250,30.0,0.022344464,8832
260,30.0,0.022930756,9167
270,33.0,0.023598241,9504
280,34.0,0.024261499,9832
290,35.0,0.024915153,10168
300,35.0,0.025518287,10505
310,36.0,0.02609216,10855
320,36.0,0.026638212,11189
330,36.0,0.027192204,11521
340,36.0,0.027743162,11847
350,36.0,0.028363976,12181
360,36.0,0.028927646,12516
370,36.0,0.029482637,12845
380,36.0,0.030057117,13174
390,36.0,0.030684474,13509
400,37.0,0.031240073,13842
410,37.0,0.031820708,14168
420,36.0,0.032396448,14499
430,37.0,0.032977274,14835
440,37.0,0.033555914,15168
450,37.0,0.034169136,15511
460,37.0,0.034784368,15854
470,37.0,0.035345015,16180
480,37.0,0.035883844,16522
490,37.0,0.036474399,16860
500,37.0,0.037121183,17203
510,38.0,0.037773822,17536
520,39.0,0.03833729,17876
530,39.0,0.038963602,18195
540,41.0,0.039539741,18528
550,43.0,0.04009631,18866
560,44.0,0.040679458,19217
570,44.0,0.041223192,19546
580,45.0,0.041794411,19888
590,45.0,0.042370705,20213
600,45.0,0.042946896,20547
610,45.0,0.043549502,20874
620,45.0,0.044237579,21214
630,45.0,0.044823082,21549
640,45.0,0.045502527,21882
650,47.0,0.046225102,22214
660,48.0,0.046851189,22557
670,46.0,0.047534187,22881
680,47.0,0.048222549,23214
690,47.0,0.048868564,23554
700,47.0,0.049387411,23881
710,47.0,0.04986662,24205
720,47.0,0.050350995,24537
730,47.0,0.050823861,24877
740,47.0,0.051358813,25215
750,47.0,0.051878637,25555
760,47.0,0.052402061,25893
770,47.0,0.052864438,26232
780,47.0,0.053371774,26571
790,48.0,0.053865906,26902
800,50.0,0.054353984,27235
810,50.0,0.054914082,27579
820,50.0,0.055430167,27901
830,50.0,0.055908916,28235
840,50.0,0.056383904,28574
850,50.0,0.056907155,28914
860,50.0,0.057393887,29239
870,50.0,0.057947649,29582
880,52.0,0.0584762,29922
890,54.0,0.059014956,30268
900,53.0,0.059498858,30602
910,53.0,0.060024182,30942
920,54.0,0.060593287,31284
930,54.0,0.061084276,31621
940,54.0,0.06161183,31952
950,54.0,0.062111885,32295
960,54.0,0.062597448,32623
970,54.0,0.0631919,32957
980,54.0,0.063717585,33288
990,54.0,0.064206626,33623
1000,54.0,0.064709124,33962
