iterations,fitness,time,fevals
0,21.0,0.000799291,434
10,26.0,0.001513988,766
20,27.0,0.002071999,1106
30,32.0,0.002656923,1449
40,30.0,0.003333801,1787
50,30.0,0.003901481,2118
60,30.0,0.004384538,2458
70,31.0,0.005011557,2793
80,31.0,0.005523322,3129
90,32.0,0.006099247,3465
100,32.0,0.006648566,3800
110,32.0,0.007169553,4140
120,32.0,0.00775169,4472
130,33.0,0.008328472,4799
140,33.0,0.009096876,5136
150,32.0,0.009939736,5466
160,33.0,0.01076345,5805
170,33.0,0.011669206,6136
180,33.0,0.012568605,6465
190,33.0,0.013584359,6792
200,33.0,0.014264803,7109
210,34.0,0.014948907,7440
220,34.0,0.015519256,7765
230,34.0,0.016286652,8092
240,34.0,0.017118567,8420
250,34.0,0.01775048,8754
260,34.0,0.018407702,9084
270,35.0,0.019199485,9417
280,34.0,0.0199265,9751
290,35.0,0.020664938,10091
300,34.0,0.021470523,10419
310,34.0,0.022145656,10754
320,37.0,0.022728669,11082
330,36.0,0.023408974,11411
340,36.0,0.024324025,11744
350,37.0,0.024847468,12075
360,37.0,0.025374974,12415
370,42.0,0.025933038,12750
380,41.0,0.026880977,13079
390,41.0,0.028074743,13409
400,45.0,0.028532943,13747
410,43.0,0.028884869,14077
420,43.0,0.029266739,14408
430,43.0,0.029634733,14739
440,44.0,0.030116238,15080
450,44.0,0.030842492,15408
460,44.0,0.031286163,15736
470,44.0,0.031735863,16071
480,46.0,0.03220807,16408
490,44.0,0.032725471,16754
500,45.0,0.03319515,17083
510,44.0,0.033629232,17419
520,44.0,0.034154844,17759
530,46.0,0.034659643,18098
540,46.0,0.035127095,18430
550,46.0,0.035578915,18762
560,46.0,0.036111244,19091
570,46.0,0.03657704,19414
580,46.0,0.037037932,19746
590,54.0,0.037567476,20077
600,55.0,0.038002015,20418
610,63.0,0.038628337,20745
620,65.0,0.039165713,21077
630,64.0,0.039683365,21408
640,66.0,0.040244549,21744
650,64.0,0.040745532,22080
660,64.0,0.041412075,22417
670,64.0,0.042066627,22749
680,64.0,0.042657417,23085
690,64.0,0.043226908,23419
700,64.0,0.043838358,23746
710,63.0,0.044368099,24080
720,68.0,0.044951196,24417
730,66.0,0.045530646,24762
740,67.0,0.046068791,25102
750,69.0,0.04659645,25446
760,68.0,0.047122925,25782
770,67.0,0.047800733,26123
780,68.0,0.048297694,26448
790,70.0,0.048808507,26775
800,69.0,0.049351295,27110
810,67.0,0.049858283,27440
820,67.0,0.050425547,27772
830,67.0,0.05100392,28103
840,68.0,0.051597564,28436
850,68.0,0.052227497,28777
860,69.0,0.052848677,29101
870,67.0,0.053385017,29432
880,68.0,0.053973536,29771
890,68.0,0.054459253,30102
900,67.0,0.05495605,30439
910,67.0,0.05552727,30783
920,67.0,0.05603388,31109
930,67.0,0.056689536,31447
940,67.0,0.057567252,31786
950,67.0,0.05849998,32124
960,67.0,0.059282895,32454
970,67.0,0.060121078,32796
