iterations,fitness,time,fevals
0,556.0,9.77227561,1000
10,581.0,19.488283588,2100
20,618.0,28.722732281,3200
30,656.0,37.666089588,4300
40,672.0,46.211553602,5400
50,690.0,54.530956851,6500
60,722.0,62.629246491,7600
70,726.0,70.468978845,8700
80,742.0,78.037121989,9800
90,750.0,85.253074423,10900
100,746.0,92.528063509,12000
110,760.0,99.607658781,13100
120,758.0,106.88193822,14200
130,752.0,114.099773627,15300
140,752.0,121.493890097,16400
150,762.0,128.564921181,17500
160,756.0,135.840817266,18600
170,766.0,143.214928978,19700
180,766.0,150.131591015,20800
190,764.0,157.158558689,21900
200,766.0,164.073257034,23000
210,770.0,171.31115567,24100
220,768.0,178.435226179,25200
230,770.0,185.56626908,26300
240,768.0,192.917153828,27400
250,768.0,200.071509516,28500
260,774.0,207.319846437,29600
270,773.0,214.260441774,30700
280,770.0,221.385558899,31800
290,776.0,228.447823518,32900
300,776.0,235.50641163,34000
310,772.0,242.822979447,35100
320,770.0,249.950159242,36200
330,772.0,257.033394815,37300
340,778.0,264.071098214,38400
350,776.0,271.332437777,39500
360,774.0,278.401678725,40600
370,772.0,285.504175676,41700
380,770.0,292.887476533,42800
390,772.0,300.08212958,43900
400,774.0,307.451797157,45000
410,770.0,314.529680824,46100
420,776.0,321.794284497,47200
430,776.0,328.85871289,48300
440,776.0,336.185063659,49400
450,778.0,343.256203316,50500
460,766.0,350.129476998,51600
470,776.0,357.157379174,52700
480,778.0,364.017721041,53800
490,774.0,371.2476172,54900
500,774.0,378.395215501,56000
510,774.0,385.639370195,57100
520,782.0,392.88597269,58200
530,780.0,399.943098735,59300
540,782.0,407.16544633,60400
550,780.0,414.14791475,61500
560,786.0,421.344424905,62600
570,778.0,428.391069281,63700
580,779.0,435.736132618,64800
590,780.0,442.876925237,65900
600,780.0,449.754002287,67000
610,780.0,456.961034879,68100
620,782.0,464.116552329,69200
630,774.0,471.394559697,70300
640,780.0,478.528607031,71400
650,780.0,485.790817101,72500
660,780.0,492.846149075,73600
670,776.0,499.914952768,74700
680,780.0,507.078395873,75800
690,784.0,514.139442373,76900
700,778.0,521.346638571,78000
710,783.0,528.397939329,79100
720,782.0,535.674933485,80200
730,788.0,542.781741396,81300
740,782.0,549.633079498,82400
750,780.0,556.734555783,83500
760,778.0,563.851994764,84600
770,780.0,571.142717901,85700
780,778.0,578.171518401,86800
790,784.0,585.358794453,87900
800,786.0,592.280527129,89000
810,781.0,599.334077133,90100
820,782.0,606.349081019,91200
830,786.0,613.313013428,92300
840,778.0,620.430731009,93400
850,780.0,627.493413844,94500
860,783.0,634.471745183,95600
870,780.0,641.70703834,96700
880,784.0,648.794520458,97800
890,786.0,655.927938839,98900
900,788.0,662.983334415,100000
910,786.0,670.353858855,101100
920,790.0,677.414647363,102200
930,792.0,684.548153284,103300
940,784.0,691.592573367,104400
950,788.0,698.63120082,105500
960,788.0,706.169683514,106600
970,794.0,713.09896209,107700
980,790.0,720.286040021,108800
990,791.0,727.30667148,109900
1000,790.0,734.293453525,111000
1010,790.0,741.603607691,112100
1020,786.0,748.670918428,113200
1030,790.0,755.988648902,114300
1040,786.0,762.942786723,115400
1050,790.0,769.938812491,116500
1060,788.0,776.805888566,117600
1070,790.0,783.792206199,118700
1080,790.0,791.05896598,119800
1090,784.0,798.286976908,120900
1100,784.0,805.560957844,122000
1110,788.0,812.652631259,123100
1120,794.0,819.901420326,124200
1130,792.0,826.822129041,125300
1140,790.0,833.923076446,126400
1150,792.0,841.10257866,127500
1160,790.0,848.044028715,128600
1170,790.0,855.361837238,129700
1180,798.0,862.203358418,130800
1190,796.0,869.316039142,131900
1200,792.0,876.271260461,133000
1210,790.0,883.34770192,134100
1220,790.0,890.974839936,135200
1230,784.0,898.201385289,136300
1240,792.0,905.581905436,137400
1250,790.0,912.733964693,138500
1260,792.0,919.869996566,139600
1270,784.0,926.803169051,140700
1280,794.0,933.892971273,141800
1290,792.0,940.945806372,142900
1300,795.0,948.254507258,144000
1310,796.0,955.396717438,145100
1320,790.0,962.407811954,146200
1330,804.0,969.610449047,147300
1340,800.0,976.571425439,148400
1350,800.0,983.817788004,149500
1360,796.0,990.959809767,150600
1370,798.0,998.041710141,151700
1380,802.0,1005.3261614,152800
1390,802.0,1012.28190142,153900
1400,796.0,1019.50747699,155000
1410,796.0,1026.63721223,156100
1420,798.0,1033.70851673,157200
1430,798.0,1040.55814956,158300
1440,798.0,1047.49067214,159400
1450,796.0,1054.67843238,160500
1460,795.0,1061.78695433,161600
1470,804.0,1068.98363112,162700
1480,798.0,1075.92212477,163800
1490,796.0,1083.14589717,164900
1500,804.0,1090.1509661,166000
1510,800.0,1097.13314465,167100
1520,797.0,1104.17052195,168200
1530,800.0,1111.25797483,169300
1540,794.0,1118.32957983,170400
1550,794.0,1125.17647982,171500
1560,802.0,1131.95031427,172600
1570,790.0,1139.25448993,173700
1580,792.0,1146.31558115,174800
1590,800.0,1153.5473844,175900
1600,798.0,1160.59599655,177000
1610,798.0,1167.89775139,178100
1620,790.0,1175.05158268,179200
1630,802.0,1182.15491887,180300
1640,794.0,1189.28440709,181400
1650,798.0,1196.15629075,182500
1660,796.0,1203.37691455,183600
1670,792.0,1210.44470444,184700
1680,796.0,1217.62191048,185800
1690,800.0,1224.54706644,186900
1700,798.0,1231.71765484,188000
1710,802.0,1239.19429137,189100
1720,802.0,1246.44419471,190200
1730,802.0,1253.65322571,191300
1740,798.0,1260.76385603,192400
1750,800.0,1267.81029468,193500
1760,796.0,1274.72564747,194600
1770,802.0,1282.01560238,195700
1780,806.0,1289.20308182,196800
1790,797.0,1296.33774275,197900
1800,798.0,1303.59878415,199000
1810,804.0,1310.76509916,200100
1820,798.0,1318.1113512,201200
1830,798.0,1325.19248137,202300
1840,798.0,1332.28008383,203400
1850,798.0,1339.3367133,204500
1860,800.0,1346.33013844,205600
1870,802.0,1353.57107467,206700
1880,800.0,1360.7875218,207800
1890,804.0,1368.18499015,208900
1900,798.0,1375.32539472,210000
1910,804.0,1382.7307254,211100
1920,798.0,1389.93597029,212200
1930,800.0,1397.05577555,213300
1940,802.0,1403.99986088,214400
1950,800.0,1411.10849478,215500
1960,803.0,1418.43191883,216600
1970,798.0,1425.49850581,217700
1980,804.0,1432.52617101,218800
1990,798.0,1439.34867489,219900
2000,806.0,1446.43674951,221000
2010,806.0,1453.65413228,222100
2020,800.0,1460.77241266,223200
2030,804.0,1467.98624266,224300
2040,800.0,1475.05855236,225400
2050,810.0,1482.2198513,226500
2060,804.0,1489.28342325,227600
2070,800.0,1496.52482273,228700
2080,800.0,1503.67015885,229800
2090,794.0,1510.78657008,230900
2100,800.0,1517.77116994,232000
2110,802.0,1524.93030184,233100
2120,803.0,1532.20762144,234200
2130,800.0,1539.34535373,235300
2140,798.0,1546.49022186,236400
2150,806.0,1553.54332311,237500
2160,802.0,1560.72013388,238600
2170,796.0,1567.84725708,239700
2180,802.0,1574.93690492,240800
2190,800.0,1582.26671431,241900
2200,804.0,1589.39830223,243000
2210,808.0,1596.58792929,244100
2220,808.0,1603.55309963,245200
2230,808.0,1610.59232107,246300
2240,808.0,1617.79463844,247400
2250,810.0,1624.68199294,248500
2260,808.0,1631.91984132,249600
2270,806.0,1639.03601929,250700
2280,800.0,1646.20489868,251800
2290,804.0,1653.32471001,252900
2300,804.0,1660.37027903,254000
2310,808.0,1667.57585485,255100
2320,806.0,1674.56061131,256200
2330,798.0,1681.72321078,257300
2340,804.0,1688.84413983,258400
2350,806.0,1696.17232389,259500
2360,802.0,1703.01545023,260600
2370,804.0,1709.92950282,261700
2380,797.0,1717.21474705,262800
2390,809.0,1724.2793544,263900
2400,801.0,1731.57405437,265000
2410,803.0,1738.72776241,266100
2420,803.0,1746.02210045,267200
2430,809.0,1753.14005293,268300
2440,801.0,1759.92704185,269400
2450,803.0,1767.03514511,270500
2460,807.0,1773.88191692,271600
2470,805.0,1781.22015728,272700
2480,811.0,1788.03946792,273800
2490,803.0,1795.16443948,274900
2500,805.0,1802.04901157,276000
2510,807.0,1809.05408422,277100
2520,807.0,1816.26363784,278200
2530,811.0,1823.21081014,279300
2540,805.0,1830.43251552,280400
2550,799.0,1837.50545028,281500
2560,803.0,1844.88135026,282600
2570,803.0,1852.02516654,283700
2580,801.0,1859.08850971,284800
2590,801.0,1866.39845206,285900
2600,803.0,1873.50850482,287000
2610,797.0,1880.74362196,288100
2620,809.0,1887.77495803,289200
2630,807.0,1894.98112131,290300
2640,797.0,1901.96559477,291400
2650,799.0,1909.00302652,292500
2660,803.0,1916.24631739,293600
2670,805.0,1923.32642748,294700
2680,803.0,1930.613104,295800
2690,803.0,1937.84030869,296900
2700,805.0,1945.58687178,298000
2710,797.0,1952.84376884,299100
2720,807.0,1959.98159957,300200
2730,803.0,1966.98360747,301300
2740,807.0,1973.99294257,302400
2750,797.0,1981.20594441,303500
2760,805.0,1988.27462946,304600
2770,803.0,1995.5480843,305700
2780,807.0,2002.61075248,306800
2790,809.0,2009.8269089,307900
2800,807.0,2016.90631901,309000
2810,803.0,2023.94842077,310100
2820,803.0,2031.19353445,311200
2830,809.0,2038.22719103,312300
2840,805.0,2045.35082095,313400
2850,803.0,2052.30570966,314500
2860,801.0,2059.18908432,315600
2870,805.0,2066.23493796,316700
2880,801.0,2073.34984422,317800
2890,799.0,2080.50708569,318900
2900,805.0,2087.5553007,320000
2910,799.0,2094.73271712,321100
2920,801.0,2101.8726069,322200
2930,809.0,2108.94711411,323300
2940,805.0,2116.17471737,324400
2950,805.0,2123.26721097,325500
2960,801.0,2130.52838249,326600
2970,803.0,2137.57363596,327700
2980,807.0,2144.69582544,328800
2990,807.0,2151.67915216,329900
3000,809.0,2158.83281852,331000
